ark,doctype,period,date,title,source,ocr_rate
bpt6k6424218b,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle,0.9993
bpt6k6495917k,imprime,1600-1820,,imprimé 18e (Gallicorpora),Gallicorpora/HTR-imprime-18e-siecle,0.9993
bpt6k5583193,presse,1881-1945,1900,Le Matin,altomator-collections,0.9964
bpt6k558121s,presse,1881-1945,1900,Le Matin,altomator-collections,0.9961
bpt6k5583235,presse,1881-1945,1900,Le Matin,altomator-collections,0.9957
bpt6k558190t,presse,1881-1945,1900,Le Matin,altomator-collections,0.9954
bpt6k558126p,presse,1881-1945,1900,Le Matin,altomator-collections,0.995
bpt6k575187s,presse,1881-1945,1925,Le Matin,altomator-collections,0.995
bpt6k574965j,presse,1881-1945,1925,Le Matin,altomator-collections,0.9945
bpt6k575041t,presse,1881-1945,1925,Le Matin,altomator-collections,0.9944
bpt6k5749522,presse,1881-1945,1925,Le Matin,altomator-collections,0.9943
bpt6k575064n,presse,1881-1945,1925,Le Matin,altomator-collections,0.993
bpt6k6109820r,presse,1821-1880,1855,Sylphide (La),altomator-collections,0.9723
bpt6k6109833c,presse,1821-1880,1855,Sylphide (La),altomator-collections,0.9703
bpt6k55239172,presse,1881-1945,1910,Journal de la Jeune fille,altomator-collections,0.9699
bpt6k5523909h,presse,1881-1945,1910,Journal de la Jeune fille,altomator-collections,0.9657
bpt6k5524090d,presse,1881-1945,1910,Journal de la Jeune fille,altomator-collections,0.9643
bpt6k5523939n,presse,1881-1945,1910,Journal de la Jeune fille,altomator-collections,0.9602
bpt6k5523945c,presse,1881-1945,1910,Journal de la Jeune fille,altomator-collections,0.9591
bpt6k5832404d,presse,1821-1880,1833,Papillon (Le),altomator-collections,0.9587
bpt6k6127771n,presse,1821-1880,1855,Sylphide (La),altomator-collections,0.9376
bpt6k6127760v,presse,1821-1880,1855,Sylphide (La),altomator-collections,0.9364
bpt6k58324245,presse,1821-1880,1833,Papillon (Le),altomator-collections,0.9353
bpt6k5832422b,presse,1821-1880,1833,Papillon (Le),altomator-collections,0.9352
bpt6k4615221x,presse,1881-1945,1918,L'Oeuvre,altomator-collections,0.9342
bpt6k58324156,presse,1821-1880,1833,Papillon (Le),altomator-collections,0.9286
bpt6k4701189w,presse,1881-1945,1940,Marie-Claire,altomator-collections,0.9279
bpt6k61098178,presse,1821-1880,1855,Sylphide (La),altomator-collections,0.9254
bpt6k5763897b,presse,1881-1945,1931,Dimanches de la femme (Les),altomator-collections,0.9235
bpt6k58324082,presse,1821-1880,1833,Papillon (Le),altomator-collections,0.9154
bpt6k5763888c,presse,1881-1945,1931,Dimanches de la femme (Les),altomator-collections,0.9147
bpt6k5763912k,presse,1881-1945,1931,Dimanches de la femme (Les),altomator-collections,0.9146
bpt6k57639026,presse,1881-1945,1931,Dimanches de la femme (Les),altomator-collections,0.9126
bpt6k47012096,presse,1881-1945,1940,Marie-Claire,altomator-collections,0.9053
bpt6k4701195m,presse,1881-1945,1940,Marie-Claire,altomator-collections,0.904
