ark,doctype,period,date,title,source
bpt6k6703142h,presse,1881-1945,1897,La Fronde,altomator-collections
bpt6k6703124k,presse,1881-1945,1897,La Fronde,altomator-collections
bpt6k67031413,presse,1881-1945,1897,La Fronde,altomator-collections
bpt6k67031235,presse,1881-1945,1897,La Fronde,altomator-collections
bpt6k6703129n,presse,1881-1945,1897,La Fronde,altomator-collections
bpt6k521589g,presse,1821-1880,1875,Le Gaulois,altomator-collections
bpt6k521546z,presse,1821-1880,1875,Le Gaulois,altomator-collections
bpt6k5216400,presse,1821-1880,1875,Le Gaulois,altomator-collections
bpt6k521647n,presse,1821-1880,1875,Le Gaulois,altomator-collections
bpt6k5215802,presse,1821-1880,1875,Le Gaulois,altomator-collections
bpt6k558190t,presse,1881-1945,1900,Le Matin,altomator-collections
bpt6k558126p,presse,1881-1945,1900,Le Matin,altomator-collections
bpt6k5583193,presse,1881-1945,1900,Le Matin,altomator-collections
bpt6k558121s,presse,1881-1945,1900,Le Matin,altomator-collections
bpt6k5583235,presse,1881-1945,1900,Le Matin,altomator-collections
bpt6k575187s,presse,1881-1945,1925,Le Matin,altomator-collections
bpt6k575041t,presse,1881-1945,1925,Le Matin,altomator-collections
bpt6k574965j,presse,1881-1945,1925,Le Matin,altomator-collections
bpt6k575064n,presse,1881-1945,1925,Le Matin,altomator-collections
bpt6k5749522,presse,1881-1945,1925,Le Matin,altomator-collections
bpt6k4701189w,presse,1881-1945,1940,Marie-Claire,altomator-collections
bpt6k4701195m,presse,1881-1945,1940,Marie-Claire,altomator-collections
bpt6k47012096,presse,1881-1945,1940,Marie-Claire,altomator-collections
bpt6k4701201w,presse,1881-1945,1940,Marie-Claire,altomator-collections
bpt6k4701212p,presse,1881-1945,1940,Marie-Claire,altomator-collections
bpt6k4615958c,presse,1881-1945,1918,L'Oeuvre,altomator-collections
bpt6k4615221x,presse,1881-1945,1918,L'Oeuvre,altomator-collections
bpt6k4615899z,presse,1881-1945,1918,L'Oeuvre,altomator-collections
bpt6k46158017,presse,1881-1945,1918,L'Oeuvre,altomator-collections
bpt6k4615898j,presse,1881-1945,1918,L'Oeuvre,altomator-collections
bpt6k431059x,presse,1821-1880,1848,La Presse,altomator-collections
bpt6k4311987,presse,1821-1880,1848,La Presse,altomator-collections
bpt6k431201s,presse,1821-1880,1848,La Presse,altomator-collections
bpt6k430913s,presse,1821-1880,1848,La Presse,altomator-collections
bpt6k431058j,presse,1821-1880,1848,La Presse,altomator-collections
bpt6k512827m,presse,1821-1880,1868,La Presse,altomator-collections
bpt6k512810m,presse,1821-1880,1868,La Presse,altomator-collections
bpt6k512671f,presse,1821-1880,1868,La Presse,altomator-collections
bpt6k512767p,presse,1821-1880,1868,La Presse,altomator-collections
bpt6k5128233,presse,1821-1880,1868,La Presse,altomator-collections
bpt6k5608591g,presse,1600-1820,1785,Cabinet des modes,altomator-collections
bpt6k10400431,presse,1600-1820,1785,Cabinet des modes,altomator-collections
bpt6k10400416,presse,1600-1820,1785,Cabinet des modes,altomator-collections
bpt6k1040042m,presse,1600-1820,1785,Cabinet des modes,altomator-collections
bpt6k5763912k,presse,1881-1945,1931,Dimanches de la femme (Les),altomator-collections
bpt6k57639026,presse,1881-1945,1931,Dimanches de la femme (Les),altomator-collections
bpt6k5763887z,presse,1881-1945,1931,Dimanches de la femme (Les),altomator-collections
bpt6k5763888c,presse,1881-1945,1931,Dimanches de la femme (Les),altomator-collections
bpt6k5763897b,presse,1881-1945,1931,Dimanches de la femme (Les),altomator-collections
bpt6k1075034f,presse,1600-1820,1799,Gallery of fashion,altomator-collections
bpt6k10750383,presse,1600-1820,1799,Gallery of fashion,altomator-collections
bpt6k10750242,presse,1600-1820,1799,Gallery of fashion,altomator-collections
bpt6k10750368,presse,1600-1820,1799,Gallery of fashion,altomator-collections
bpt6k1075026w,presse,1600-1820,1799,Gallery of fashion,altomator-collections
bpt6k8702291,presse,1881-1945,1884,Gazette des femmes (La),altomator-collections
