ark;page;seg_fusion;seg_scission;seg_colonnes;seg_ordre;seg_zone_manquee;seg_typage_bloc;_gravite;_fait
bpt6k431058j;1;0;0;0;0;0;0;severe;1
bpt6k575064n;3;0;0;0;0;1;0;notable;1
bpt6k6551882q;44;0;0;0;0;0;0;mineure;1
bpt6k4311987;2;0;0;0;0;0;0;severe;1
bpt6k3041989v;158;0;0;0;0;0;0;mineure;1
bpt6k558126p;3;0;0;0;0;1;0;notable;1
bpt6k575187s;6;0;0;0;0;1;0;notable;1
bpt6k5215802;3;0;0;0;0;0;0;severe;1
bpt6k1075034f;6;0;0;0;0;0;0;mineure;1
bpt6k1040954x;3;0;0;0;0;0;0;notable;1
bpt6k521589g;3;0;0;0;0;0;0;severe;1
bpt6k5832404d;4;0;0;0;0;0;0;notable;1
bpt6k57639026;16;0;0;0;0;1;0;severe;1
bpt6k67031235;1;0;0;0;0;0;0;severe;1
bpt6k4615958c;2;0;0;0;0;0;0;severe;1
bpt6k1040042m;3;0;0;0;0;0;0;mineure;1
bpt6k10409523;2;0;0;0;0;0;0;mineure;1
bpt6k1041932n;5;0;0;0;0;0;0;mineure;1
bpt6k6127760v;1;0;0;0;0;0;0;severe;1
bpt6k4701189w;32;1;0;1;1;1;0;severe;1
bpt6k512827m;3;0;0;0;0;1;0;severe;1
bpt6k1040954x;7;0;0;0;0;0;0;notable;1
bpt6k5583193;5;0;0;0;0;0;0;notable;1
bpt6k6509381p;517;0;0;0;1;0;0;severe;1
bpt6k5216400;4;0;0;1;0;0;1;severe;1
bpt6k431201s;2;0;0;0;1;0;0;severe;1
bpt6k5763887z;14;0;0;1;0;0;0;severe;1
bpt6k575187s;1;0;0;0;0;1;0;mineure;1
bpt6k431058j;3;0;0;0;0;0;0;severe;1
bpt6k1075026w;6;0;0;0;0;0;0;mineure;1
bpt6k67031235;3;0;0;0;0;0;0;notable;1
bpt6k56119308;5;0;0;0;1;0;0;notable;1
bpt6k58324156;4;0;0;0;0;0;0;severe;1
bpt6k4311987;3;0;0;1;0;0;0;notable;1
bpt6k6495917k;152;0;0;0;0;0;0;ras;1
bpt6k9362275;41;0;0;0;1;0;0;notable;1
bpt6k8713143m;228;0;0;0;0;0;0;severe;1
