ark;page;seg_fusion;seg_scission;seg_colonnes;seg_ordre;seg_zone_manquee;seg_typage_bloc;_gravite;_fait
bpt6k1041880c;1;0;0;0;1;0;0;mineure;1
bpt6k1075034f;6;0;0;0;0;0;0;mineure;1
bpt6k15204009;97;0;0;1;1;0;0;notable;1
bpt6k521589g;3;0;0;0;0;0;0;severe;1
bpt6k56119308;2;0;0;0;0;0;0;mineure;1
bpt6k5763887z;14;0;0;0;0;0;0;notable;1
bpt6k57639026;12;0;0;0;0;1;0;notable;1
bpt6k58324082;1;0;0;0;0;1;0;notable;1
bpt6k6127771n;3;0;0;0;0;0;0;notable;1
bpt6k6551882q;143;0;0;0;1;0;0;notable;1
bpt6k8711898c;159;0;0;0;0;1;0;severe;1
bpt6k8711906g;62;0;0;0;0;0;0;notable;1
bpt6k8713143m;228;0;0;0;0;0;0;severe;1
